Arco_i Arco_j VecesRecorrido
============================
6 7 2
6 9 0
6 17 0
7 10 1
7 16 1
9 6 1
9 17 0
9 22 1
11 16 2
16 7 0
16 11 0
16 17 1
16 932 2
17 6 1
17 9 1
17 16 0
18 19 1
18 20 1
18 21 0
19 18 1
19 22 1
20 18 0
20 21 2
21 18 1
21 985 1
22 9 1
22 19 0
22 688 1
113 11 1
113 932 1
203 17 1
203 688 1
203 932 0
359 113 1
359 425 0
359 821 1
425 359 1
425 789 0
565 203 1
565 566 1
565 583 0
566 565 1
583 565 1
583 650 1
650 583 1
650 687 1
650 969 0
687 19 1
687 688 0
687 830 1
688 203 0
688 583 1
688 687 1
789 425 1
789 862 1
789 943 0
821 359 1
830 687 0
830 969 1
830 985 1
862 789 1
932 16 0
932 113 1
932 203 1
932 943 1
943 789 1
943 932 0
943 967 1
967 943 1
969 650 1
969 830 0
985 20 1
985 21 0
985 830 1
4 8 0
4 11 1
8 4 0
10 8 1
11 4 0
11 10 0
