Arco_i Arco_j VecesRecorrido
============================
53 149 0
53 186 1
53 793 1
54 53 1
54 342 0
148 149 1
148 186 4
148 1016 0
149 53 1
149 668 1
149 1017 0
185 330 1
185 731 1
186 148 0
186 185 1
186 381 4
253 987 4
266 267 1
266 735 0
267 266 0
267 662 1
267 736 1
327 381 1
328 327 1
328 525 1
329 330 0
329 1020 1
330 329 1
342 54 1
342 343 4
343 342 0
343 802 3
343 877 1
372 662 1
372 736 2
373 372 1
373 1012 1
381 186 0
381 327 0
381 793 5
394 373 2
395 396 1
395 793 0
395 877 1
396 395 1
525 328 0
525 526 1
525 802 1
526 525 1
606 607 8
606 872 0
607 731 1
607 1015 7
662 267 1
662 872 1
668 1000 1
731 148 1
731 185 1
731 607 0
735 266 1
736 394 2
736 735 1
786 1036 4
793 53 0
793 342 5
793 395 1
802 343 0
802 1038 4
806 253 4
816 817 5
816 930 1
817 816 0
817 1040 6
835 817 1
835 930 1
872 606 7
872 662 0
877 328 2
877 395 0
910 911 4
910 980 0
911 1082 4
930 1063 2
980 910 4
987 1005 4
1000 668 0
1000 1002 1
1001 1002 2
1002 1005 3
1005 1007 7
1007 1012 7
1012 1013 8
1013 372 2
1013 872 6
1014 1001 2
1015 1014 1
1015 1016 6
1016 148 4
1016 1017 2
1017 149 1
1017 1014 1
1020 329 0
1020 606 1
1036 1066 4
1038 802 0
1038 1041 5
1039 980 4
1039 1038 1
1040 1039 5
1040 1041 1
1041 816 6
1062 1063 1
1062 1081 1
1062 1083 1
1063 1083 3
1066 806 4
1081 835 2
1082 1062 3
1082 1081 1
1083 1063 0
1083 1087 4
1084 786 4
1087 1084 4
