Arco_i Arco_j VecesRecorrido
============================
73 926 1
73 1004 1
74 73 2
74 702 0
121 122 2
121 637 0
122 693 1
122 892 1
123 124 1
123 825 0
123 850 1
124 767 2
124 813 0
191 215 1
191 767 0
214 568 1
214 569 2
215 214 3
215 474 0
215 767 0
258 259 1
258 928 1
259 258 1
259 287 1
284 495 1
285 474 1
285 853 0
286 287 0
286 469 1
286 561 1
287 259 0
287 286 1
287 379 1
287 891 1
331 332 0
331 853 1
332 331 1
374 375 0
374 637 1
375 374 1
375 813 3
375 849 0
376 121 1
376 693 1
379 287 1
379 380 0
379 780 1
380 379 1
380 759 1
393 735 1
469 286 0
469 470 3
469 891 1
470 376 2
470 469 0
470 849 1
474 215 1
474 285 0
474 601 1
495 630 1
555 556 1
555 611 0
556 555 0
556 612 1
556 764 1
560 561 1
560 913 1
561 259 1
561 286 1
561 928 1
568 850 2
569 568 1
569 781 2
601 474 1
601 853 1
601 900 1
605 702 1
605 773 0
611 555 1
612 556 1
612 611 1
630 258 1
637 121 1
637 374 0
637 892 1
693 122 0
693 999 2
702 74 1
702 605 0
702 805 1
702 956 0
709 773 0
709 1067 1
735 284 1
744 906 1
759 380 0
759 1010 1
764 556 0
764 999 2
764 1034 0
767 124 0
767 191 1
767 215 1
773 605 1
773 709 1
780 781 2
781 380 2
781 1010 2
805 74 1
805 702 0
813 124 1
813 375 0
813 825 2
825 123 2
825 813 0
825 909 1
849 375 4
850 849 3
853 285 1
853 331 0
853 601 1
891 287 1
891 780 1
892 637 1
892 1034 1
900 332 1
900 601 1
900 1067 1
906 560 1
906 744 0
909 825 1
913 560 1
913 744 1
926 73 0
926 956 2
928 561 1
928 913 1
956 702 1
956 773 2
956 1067 0
998 469 3
998 999 0
999 612 1
999 764 0
999 998 3
1004 1008 1
1006 1008 1
1008 926 1
1008 1006 0
1008 1011 1
1009 393 1
1009 1006 1
1010 1009 2
1010 1011 1
1011 569 1
1011 900 1
1011 1010 0
1034 764 1
1067 709 0
1067 900 1
1067 956 1
