Arco_i Arco_j VecesRecorrido
============================
33 34 1
33 163 1
33 598 0
34 33 1
34 995 1
34 996 0
69 87 1
70 69 1
83 84 0
83 129 1
83 179 1
84 83 1
84 130 1
84 163 0
87 69 0
102 103 0
102 533 0
102 815 2
103 102 1
103 599 1
104 191 0
104 285 1
105 486 0
105 879 1
121 637 0
122 893 1
123 124 1
124 532 1
124 767 0
124 813 1
129 83 0
129 130 1
129 400 1
130 84 1
130 129 0
130 991 1
163 33 0
163 84 1
163 179 1
163 997 0
168 169 1
168 896 1
169 307 0
169 563 1
169 700 1
179 83 1
179 163 0
179 461 1
179 598 1
189 190 1
189 307 1
189 755 0
190 274 1
190 308 0
190 386 1
191 104 1
191 767 1
211 461 1
252 103 2
256 257 0
256 531 1
256 758 1
257 256 1
257 400 1
257 461 0
257 572 0
260 261 1
260 437 1
261 322 0
261 438 2
261 541 1
270 168 1
270 998 1
271 896 0
272 505 1
272 951 1
273 272 1
273 448 0
285 104 0
285 854 1
297 351 1
297 963 0
298 786 1
307 169 1
307 189 0
307 998 1
308 190 1
308 307 1
308 563 0
318 319 1
319 318 0
321 322 1
321 585 0
321 932 1
322 261 2
322 321 0
322 414 1
322 922 0
331 332 0
331 486 2
332 331 1
332 675 1
332 708 0
350 351 1
350 605 1
350 774 0
351 350 1
351 710 1
369 838 0
374 375 0
374 637 1
374 848 1
375 374 2
375 768 0
375 813 0
386 190 0
386 756 1
397 398 1
397 661 1
397 848 0
398 397 0
398 661 0
398 833 1
398 886 1
400 129 1
400 257 0
400 690 1
414 322 1
414 541 0
414 725 1
419 70 1
419 743 1
437 260 0
437 438 0
437 774 1
437 1089 1
438 437 1
438 717 1
448 273 1
448 541 1
455 191 1
461 179 0
461 211 0
461 257 1
461 885 1
472 835 1
472 870 1
486 105 1
486 331 0
486 584 1
505 674 1
505 861 1
531 256 1
532 533 2
532 674 1
532 769 0
533 102 1
533 599 1
541 272 1
541 414 1
555 556 1
555 611 1
555 657 0
555 757 1
556 555 1
556 612 0
556 764 1
563 308 2
563 564 0
564 563 1
564 874 0
564 1035 0
564 1038 1
571 572 1
572 257 1
572 571 0
575 576 1
575 971 1
575 993 0
576 575 0
576 670 2
576 765 0
584 486 0
584 585 1
584 879 0
585 321 2
585 584 0
585 932 0
598 33 1
598 179 1
598 975 0
599 861 2
605 350 0
605 702 1
