Arco_i Arco_j VecesRecorrido
============================
1156 1259 0
1254 1258 1
1254 1305 0
1255 1259 1
1258 1254 0
1258 1259 1
1258 1304 1
1259 1156 1
1259 1255 1
1259 1258 0
1304 1258 1
1304 1305 0
1304 1338 1
1305 1254 1
1305 1304 1
1305 1335 0
1335 1305 2
1335 1338 0
1335 1367 0
1338 1304 0
1338 1335 1
1338 1369 1
1367 1335 1
1367 1369 0
1367 1414 1
1369 1338 1
1369 1367 1
1369 1415 0
1414 1367 1
1415 1369 1
1415 1447 0
1447 1415 1
1447 1448 0
1448 1447 1
1448 1525 0
1515 1525 1
1515 1581 0
1525 1448 1
1525 1515 0
1525 1527 1
1527 1525 1
1581 1515 1
1581 1674 0
1644 1679 1
1674 1581 1
1674 1675 0
1674 1679 1
1675 1674 1
1675 1699 0
1679 1644 0
1679 1674 1
1679 1682 1
1682 1679 0
1699 1675 1
1699 1709 0
1699 1728 1
1709 1699 1
1728 1699 1
1728 1729 1
1729 1728 1
1729 1733 0
1729 1816 1
1733 1729 1
1733 1736 1
1733 1820 0
1736 1733 0
1812 1816 1
1816 1729 0
1816 1812 1
1816 1820 1
1816 1893 1
1820 1733 2
1820 1816 0
1820 1823 0
1823 1820 1
1823 1829 1
1823 1894 0
1829 1823 1
1891 1893 1
1893 1816 1
1893 1891 0
1893 1894 1
1894 1823 1
1894 1893 0
1933 1935 0
1935 1933 1
1935 1936 1
1935 1992 0
1936 1935 0
1936 1975 1
1959 1962 1
1959 2002 0
1962 1959 0
1962 1963 2
1962 2083 0
1963 1962 0
1963 1965 1
1963 2093 1
1965 1963 0
1965 1967 1
1965 2091 1
1967 1965 1
1967 1970 1
1967 2087 0
1968 1970 1
1968 1990 1
1968 2085 0
1970 1967 0
1970 1968 1
1970 2089 1
1975 1936 0
1975 1992 1
1990 1968 0
1990 1996 2
1990 2082 0
1992 1935 2
1992 1975 0
1992 2000 0
1996 1990 0
1996 2005 1
1996 2084 1
2000 1992 1
2002 1959 1
2002 2051 0
2005 1996 0
2051 2002 1
2051 2052 1
2051 2081 0
2052 2051 0
2079 2084 1
2081 2051 2
2081 2083 0
2081 2138 0
2082 1990 1
2082 2085 0
2082 2086 1
